manager_id,xp_id,efficiency,eff_eradication,high_eff,latitude,elevation,goals,slope,coarse_env,obstacles,flood,geomem,maxveg,uprootexcav,stand_surface,fully_tarped,distance,tarping_duration,stripsoverlap_ok,tarpfix_multimethod,tarpfix_pierced,sedicover_height,trench_depth,plantation,followups,pb_fixation,pb_durability
1,2,6.333333333333333,0,0,46.786,178,eradicate_and_limit_expansion_vigour,1,-0.18196116617222008,0,0,0,1,1,6,1,1,4,1,1,0,10,40,0,-1.7037441464321559,0,0
2,4,8,0,0,47.172,488,eradicate,10,1.9922740759541409,2,10,0,0,0,10,1,1,9,1,1,1,0,10,1,0.043343912088209036,0,0
3,5,6.836666666666666,0,0,50.643,18,eradicate,8,-0.8535932535016597,0,8,1,0,0,60,1,5,5,0,1,1,0,0,1,0.9941702246777092,0,0
4,6,10,1,1,45.174,295,eradicate_and_limit_expansion,1,1.6524834073758463,0,3,1,1,1,15,1,1,12,0,1,0,55,50,0,-0.1161939527917636,0,0
6,8,6.333333333333333,0,0,48.2,72,eradicate,0,-2.5137520284559822,0,0,1,0,0,3,0,2,3,1,0,0,0,10,0,0.9941702246777101,0,0
7,9,9.333333333333334,1,1,42.454,271,eradicate_and_limit_dispersal,6,2.2479082910602317,6,0,1,0,1,10,1,1,3,1,1,0,0,10,0,-0.4352696825517094,0,0
8,10,8,0,1,45.683,908,eradicate,9,1.306348040035208,2,0,1,0,0,100,1,0.75,5,0,1,0,0,50,0,1.0005711013680454,0,0
9,11,6.333333333333333,0,0,48.457,14,eradicate_and_limit_expansion_and_limit_dispersal,0,-0.6818870969480203,3,5,1,0,0,300,1,1,5,0,1,1,3,15,0,0.9941702246777101,1,0
10,12,9,1,1,50.623,23,eradicate,0,-0.46108397031096326,1,0,0,0,0,9,1,2,5,1,1,0,0,50,0,-0.1161939527917636,0,0
11,13,9,1,1,45.447,457,eradicate_and_limit_expansion_and_limit_dispersal,9,1.777430376403095,1,2,1,1,0,305,1,1.4941666666666666,3,0,1,1,0,25,0,-0.5933799689626842,1,0
12,14,8,0,0,44.683,994,eradicate_and_limit_expansion_and_limit_dispersal,5,2.1442567001973645,0,0,1,0,1,300,0,1,4,0,1,0,15,15,0,0.6750944949177647,0,0
13,15,7.666666666666667,0,0,48.186,113,eradicate,0,-2.3750563384172976,0,7,1,0,1,300,1,2,4,1,0,0,25,0,0,-0.27573181767173627,0,0
14,16,3.3333333333333335,0,0,47.509,84,eradicate,9,0.9670610674965457,3,10,0,1,1,50,1,0.5,2,0,1,1,0,20,0,-0.7529178338426574,0,1
15,17,6,0,0,48.485,11,eradicate,7,1.0734510968057471,5,2,1,1,1,35,1,0.5,5,1,1,1,0,0,1,0.20288177696818183,0,0
16,18,6.333333333333333,0,0,49.508,5,eradicate,7,1.7483330215511532,3,7,0,1,1,225,1,0,2,0,1,1,0,100,0,-0.1161939527917636,0,0
18,21,8.333333333333334,0,0,47.251,39,eradicate_and_limit_dispersal,7,0.5862311027513202,0,4,0,0,1,100,0,1,3,1,0,1,0,0,0,0.9941702246777101,1,0
19,22,2,0,0,48.41,56,limit_expansion,3,0.9624593160622195,7,0,1,0,1,50,1,0,8,0,0,0,0,0,0,-2.1823577410720767,0,0
20,23,5,0,0,48.035,103,limit_expansion_and_limit_dispersal,2,-0.5098710288648977,2,2,1,0,1,50,1,0.5,3,1,1,0,18.47,50,0,0.20288177696818183,0,0
20,24,4.666666666666667,0,0,48.07,143,limit_expansion_and_limit_dispersal,7,0.1464812413363851,7,8,1,0,1,30,1,0.3,2,1,1,0,50,50,0,0.9941702246777101,0,1
21,25,10,1,1,49.287,85,eradicate,2,0.8505505006276171,0,10,1,0,0,40,1,1,5,1,1,0,0,55,1,-0.1161939527917636,0,0
22,26,8.666666666666666,1,1,45.587,856,limit_expansion,4,0.04753454873511621,2.42,3,1,0,1,360,1,1.144,3,0,0,0,0,30,0,-2.1823577410720767,0,0
25,29,5,0,0,45.568,317,limit_expansion_and_limit_dispersal_and_vigour,8,1.435682590294503,6,5,0,0,0,450,0,1,3,1,1,0,0,50,0,-0.1161939527917636,0,0
26,30,10,1,1,48.273,83,eradicate_and_limit_expansion,2,0.8742463387337409,2,0,1,0,0,20,1,2,5,1,0,0,0,15,0,-0.1161939527917636,0,0
27,31,8,0,0,45.703,216,eradicate,1,-0.7801371710650697,0,0,0,0,0,75,1,2,2,1,0,1,0,0,0,0.6750944949177647,0,0
29,33,8.666666666666666,0,1,46.674,284,eradicate_and_limit_expansion,2,1.5479013172585887,6,8,0,0,1,2000,1,1,11,1,1,0,0,40,1,-0.27573181767173627,0,0
30,34,7,0,0,46.112,358,eradicate_and_limit_expansion_and_limit_dispersal,5,2.3084638704641125,5,5,1,1,0,140,1,1.5,3,0,0,0,0,25,0,0.9941702246777101,0,0
31,35,10,1,1,44.817,1090,eradicate_and_limit_expansion,2,-0.8847134995490081,0,1,1,0,0,50,1,0.5,5,0,0,0,0,0,0,1.3132459544376556,0,0
32,36,8.666666666666666,0,1,43.326,221,eradicate_and_limit_dispersal,5,-1.173701921307961,2,8,0,1,0,1000,1,2,3,0,0,1,0,0,0,0.8346323597977374,1,0
34,38,2.6666666666666665,0,0,48.462,184,limit_expansion,8,1.3603643543654134,7,8,1,0,1,50,0,0,3,1,1,0,5,20,1,0.9941702246777101,0,1
35,39,8,0,0,49.683,415,eradicate_and_limit_expansion,7,-1.231132631093681,2,0,1,0,1,50,1,2,3,1,0,0,30,0,0,-0.27573181767173627,0,0
36,40,8,0,1,46.041,602,eradicate,3,0.9213096761562963,0,0,1,0,1,10,1,2,12,0,1,0,20,50,1,0.04334391208820926,0,1
37,41,8.333333333333334,0,1,48.297,131,eradicate,8,-0.09421113514613441,1,0,0,0,1,60,1,1.4025,2,1,0,0,30,0,0,0.5219575067281276,0,0
40,45,8.666666666666666,1,1,45.525,269,eradicate,5,-1.176398828215872,0,0,0,1,0,20,1,1,4,1,1,1,2,0,0,0.04334391208820926,0,0
41,46,8.666666666666666,0,0,46.562,177,eradicate_and_limit_expansion_and_limit_dispersal,8,-0.810919438607828,3,0,1,0,1,150,1,0.5,6,1,1,1,0,25,1,0.6750944949177647,0,0
42,47,8,0,0,50.26,154,eradicate_and_vigour,8,-1.1384913227959164,2,0,1,0,1,100,0,0,9,1,1,1,0,0,1,0.6750944949177647,0,0
43,48,7,0,0,44.684,995,eradicate_and_limit_expansion,1,-0.19351667631537806,1,0,1,0,0,30,1,1,7,0,1,0,10,0,0,-0.1161939527917636,0,0
44,49,10,1,1,45.523,380,eradicate_and_limit_dispersal,4,-0.810919438607828,1,6,1,0,0,40,1,1.8,5,1,1,1,0,65,0,-0.9124556987226298,0,0
45,50,8.333333333333334,0,0,47.081,343,eradicate_and_limit_expansion_and_limit_dispersal,5,0.14101090787822057,0,10,0,0,1,400,1,1,8,0,1,1,0,30,1,0.9941702246777101,1,0
46,51,10,1,1,44.978,18,eradicate,3,1.8715416453882123,8,2,1,0,1,20,1,1,7,0,1,0,8,15,0,0.9941702246777101,0,1
48,53,6.333333333333333,0,0,45.044,925,limit_expansion_and_vigour,9,2.530990718232549,4,1,1,0,0,30,0,1,5,0,1,0,0,15,0,0.9941702246777101,0,0
51,57,10,1,1,48.113,131,limit_expansion,0,-1.1515990749020921,0,3,0,1,0,4,1,0,4.5,1,0,1,0,0,0,-0.4352696825517094,0,0
53,59,7.666666666666667,0,0,48.661,249,limit_expansion_and_vigour,8,3.2968240587527666,6,0,1,0,0,300,0,1,5,1,0,0,0,0,0,0.6814953716081001,0,0
54,60,7.666666666666667,0,0,44.236,466,limit_expansion_and_limit_dispersal_and_vigour,8,0.6374255423758108,2,8,1,0,0,55,1,0.5,10,1,0,0,0,20,0,0.8346323597977374,0,0
55,61,4.666666666666667,0,0,48.39,51,eradicate_and_limit_expansion_and_limit_dispersal,4,0.3402621773207863,3,0,1,0,0,50,1,2,5,1,1,0,10,0,0,0.5219575067281276,0,0
56,62,7.333333333333333,0,0,45.49,599,eradicate_and_limit_dispersal,9,-0.8697435939503332,1,8,1,0,1,30,0,1.5,4.5,1,1,0,0,13,0,0.8346323597977374,0,0
58,64,8.666666666666666,0,0,49.555,118,limit_expansion,1,-1.815773707483066,0,0,1,1,1,50,1,1,3,1,1,1,0,0,0,-0.1161939527917636,0,1
