manager_id,xp_id,reg_stripsoverlap,latitude,elevation,slope,coarse_env,stand_surface,geomem,levelling,fully_tarped,distance,strips_overlap,tarpfix_multimethod,stripfix_pierced,stripfix_taped,sedicover_height,trench_depth,plantation,repairs,add_control,freq_monitoring,pb_fixation,pb_durability,reg_elsewhere,tarping_duration
1,3,1,46.788,180,0,-1.9827680778165904,32.5,0,1,0,0,25,1,0,1,10,10,0,0,0,3,0,0,1,3
3,5,0,50.643,18,8,-0.8810435322659856,60,1,0,1,5,5,1,1,1,0,0,1,1,1,3,0,0,1,5
4,6,0,45.174,295,1,2.0330452714606775,15,1,1,1,1,15,1,0,0,55,50,0,0,1,3,0,0,0,12
5,7,1,48.079,655,4,0.28431422704291764,8,1,0,1,0.5,40,1,1,0,10,0,0,1,1,2,0,0,1,1
6,8,0,48.2,72,0,-2.6708636302140074,3,1,1,0,2,150,0,0,0,0,10,0,1,1,3,0,0,1,3
7,9,0,42.454,271,6,2.459974595146134,10,1,1,1,1,50,1,1,0,0,10,0,0,1,1,0,0,1,3
8,10,0,45.683,908,9,1.2914791772699548,100,1,0,1,0.75,35,1,1,0,0,50,0,0,1,10,0,0,0,5
9,11,0,48.457,14,0,-0.8811191787495515,300,1,1,1,1,10,1,1,0,3,15,0,1,1,3,1,0,1,5
10,12,0,50.623,23,0,-0.5584825544550622,9,0,1,1,2,50,1,1,0,0,50,0,0,1,3,0,0,0,5
11,13,0,45.447,457,9,1.8830801497644103,305,1,0,1,1.6175,30,1,1,1,0,25,0,1,0,3,1,0,0,3
12,14,1,44.683,994,5,2.21616720299902,300,1,1,0,1,20,1,0,0,15,15,0,1,1,1,0,0,1,4
14,16,1,47.509,84,9,0.6523283744307352,50,0,0,1,0.5,20,1,1,0,0,20,0,1,0,2,0,1,1,2
16,18,1,49.508,5,7,1.6718834008197883,225,0,0,1,0,15,1,1,0,0,100,0,0,1,3,0,0,1,2
19,22,1,48.41,56,3,1.1301454686363146,50,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,8
20,23,0,48.035,103,2,-0.5533539131861221,50,1,1,1,0.5,100,1,1,1,6.24,50,0,0,1,5,0,0,1,3
21,25,0,49.287,85,2,1.3311786514702602,40,1,0,1,1,50,1,1,0,0,55,1,0,1,3,0,0,1,5
24,28,0,48.802,56,8,0.4538866835244796,500,0,1,1,2,100,1,1,0,0,30,0,0,1,7,0,0,1,1
25,29,0,45.568,317,8,1.5247604939933823,450,0,0,0,1,50,1,1,0,0,50,0,0,1,3,0,0,1,3
27,31,0,45.703,216,1,-0.8191891907177917,75,0,0,1,2,60,0,1,0,0,0,0,1,1,1,0,0,1,2
29,33,0,46.674,284,2,1.6515682232064322,2000,0,1,1,1,100,1,1,0,0,40,1,0,1,2,0,0,1,11
32,36,0,43.326,221,5,-1.088652512238758,1000,0,0,1,2,30,0,1,0,0,0,0,1,1,2,1,0,1,3
33,37,1,50.341,8,2,-1.150975034135161,100,0,0,1,1.5,50,1,0,0,0,0,0,1,1,8,1,0,1,1.5
36,40,0,46.041,602,3,1.1440488651071279,10,1,0,1,2,15,1,0,0,20,50,1,0,1,4,0,1,0,12
37,41,1,48.297,131,8,0.10589136887591769,60,0,1,1,1.1324999999999998,50,0,1,0,30,0,0,0,1,7,0,0,1,2
38,42,0,45.747,419,8,-0.096760805302024,200,1,0,0,1,50,1,0,0,10,10,0,0,1,3,0,0,1,1
1,44,0,46.786,182,7,0.3285228691968224,20,0,1,0,0,50,1,1,0,0,0,0,0,0,2,0,0,1,3
40,45,0,45.525,269,5,-1.3376366401500837,20,0,0,1,1,50,1,1,0,2,0,0,0,1,4,0,0,1,4
42,47,1,50.26,154,8,-1.1692992290468542,100,1,1,0,0,50,1,0,0,0,0,1,1,1,1,0,0,1,9
43,48,1,44.684,995,1,0.22091901319763418,30,1,0,1,1,30,1,1,0,10,0,0,0,1,3,0,0,1,7
45,50,0,47.081,343,5,0.2860174527694597,400,0,1,1,1,10,1,1,0,0,30,1,1,1,3,1,0,0,8
48,53,1,45.044,925,9,2.8047352938157224,30,1,0,0,1,5,1,0,0,0,15,0,1,1,3,0,0,1,5
53,59,0,48.661,249,8,3.4739903764579663,300,1,0,0,1,100,0,1,0,0,0,0,0,1,8,0,0,1,5
54,60,0,44.236,466,8,0.7782841100854392,55,1,0,1,0.5,100,0,0,0,0,20,0,1,1,2,0,0,1,10
55,61,1,48.39,51,4,0.5501975990698591,50,1,0,1,2,100,1,0,0,10,0,0,0,1,7,0,0,1,5
57,63,0,48.47,9,7,1.6719220132704025,2000,0,1,0,0,5,1,1,0,0,0,1,1,1,3,0,0,1,1.5
62,68,1,48.558,90,10,2.752938847343005,300,0,1,1,2,50,1,1,0,20,55,0,0,1,3,1,0,1,2
63,69,0,49.494,7,1,1.1966397285982615,600,0,1,1,1.246,30,1,1,0,0,0,1,1,0,3,1,1,1,8
64,70,1,47.998,8,6,2.2624329922934954,200,1,0,1,1,50,1,1,0,10,30,0,1,1,2,0,0,1,10
65,71,0,45.718,163,8,0.4639154481940001,150,1,0,1,2,50,0,0,0,0,0,0,1,1,2,1,0,0,5
66,72,0,49.193,58,5,-0.7537195282094549,150,0,1,1,0,35,0,0,1,0,0,0,0,0,1,0,0,0,2
68,74,0,49.05,300,10,0.3590102008198344,40,1,1,1,1,100,1,1,0,25,0,0,0,1,2,0,0,1,6
70,76,0,46.887,196,2,0.20179078646733833,300,0,0,1,2,100,1,0,0,0,0,1,1,1,3,0,0,1,3
71,77,1,45.084,36,5,-0.31625464705565215,50,0,0,1,0.5,50,1,1,0,0,0,0,0,1,1,0,1,1,7
72,78,0,45.278,212,7,1.4836714404631173,28,1,0,1,1,1,0,0,0,2,0,0,1,1,9,0,1,1,8
75,81,1,45.824,234,3,-0.16703598063806088,300,1,0,1,2,100,0,1,0,0,0,0,0,1,1,0,0,1,5
76,82,0,45.967,286,6,-0.9034639515151847,1000,0,0,1,1.5,50,1,1,0,0,0,1,0,1,4,1,0,1,9
1,84,0,46.788,180,0,-2.260890233038414,12,0,1,1,3,30,1,0,1,10,40,0,0,0,3,0,0,0,4
1,85,0,46.787,179,0,-1.8369653448967374,7,0,1,0,2,20,1,0,1,10,40,0,0,0,3,0,0,1,4
1,86,1,46.786,179,0,-1.5880954759195913,17,0,1,1,3,25,1,0,1,10,40,0,0,0,3,0,0,1,4
1,87,0,46.786,179,1,-2.0858352138738834,45,0,1,1,2,20,1,0,1,10,40,0,0,0,3,0,0,0,4
1,91,0,46.785,179,1,-0.9822837016179019,38,0,1,1,1,20,1,0,1,10,40,0,0,0,3,0,0,1,4
1,93,0,46.632,196,2,-0.7096827215296592,205,0,1,0,2,50,1,0,1,15,40,0,0,1,3,1,0,1,4
1,94,0,46.788,180,0,-1.9827680778165884,32.5,0,1,0,0,50,1,0,1,10,10,0,0,0,3,0,0,1,3
1,94,0,46.788,180,0,-1.9827680778165884,32.5,0,1,0,0,100,1,0,0,10,10,0,0,0,3,0,0,1,3
1,94,0,46.788,180,0,-1.9827680778165884,32.5,0,1,0,0,10,1,0,0,10,10,0,0,0,3,0,0,1,3
1,95,0,46.786,182,7,0.3285228691968224,20,0,1,0,0,50,1,1,0,0,0,0,0,0,2,0,1,1,3
1,95,0,46.786,182,7,0.3285228691968224,20,0,1,0,0,50,1,1,0,0,0,0,0,0,2,0,0,1,3
1,95,0,46.786,182,7,0.3285228691968224,20,0,1,0,0,50,1,1,0,0,0,0,0,0,2,0,0,1,3
1,96,0,46.784,179,0,-2.012020364061269,20,0,1,0,0,15,1,1,0,0,0,0,0,0,2,0,0,1,3
1,96,0,46.784,179,0,-2.012020364061269,20,0,1,0,0,15,1,1,0,0,0,0,0,0,2,0,0,1,3
1,96,0,46.784,179,0,-2.012020364061269,20,0,1,0,0,15,1,1,0,0,0,0,0,0,2,0,0,1,3
1,96,0,46.784,179,0,-2.012020364061269,20,0,1,0,0,15,1,1,0,0,0,0,0,0,2,0,0,1,3
78,E2,0,45.958,26,8,1.5591895160022742,200,1,0,1,5,15,1,1,0,3,0,0,1,1,3,0,1,1,3
79,E3,1,42.446,67,8,-1.377070562449078,232,1,0,0,0,45,0,0,0,0,0,0,1,1,1,1,1,1,4
80,E4,0,51.68,73,1,-1.3308047731546022,400,0,0,1,1.5,25,1,0,1,15,100,0,0,0,3,0,0,0,5
81,E5,0,51.671,12,1,-0.7936792073965875,225,1,0,0,0,100,0,0,0,0,0,0,1,1,4,0,1,1,3
82,E6,0,43.648,163,2,-0.3578213629787839,74,1,0,1,3,15,0,0,0,10,0,0,1,1,1,0,1,1,4.5
84,E8,1,45.399,104,2,0.5125906434762432,6,1,0,1,2,40,1,0,1,10,30,0,0,1,1,0,0,0,5.5
85,E9,1,46.389,592,0,-2.521644963796416,350,0,0,1,1,20,1,0,0,1,0,0,1,1,12,0,0,0,3
87,E11,0,52.08,3,2,1.0458982598272157,100,0,1,0,5,100,1,0,0,30,30,0,1,0,1,0,0,0,5
91,E15,0,43.627,80,5,0.6184156272653244,3,1,1,1,0.3,12,1,0,0,0,90,0,1,1,15,0,1,1,3
94,E18,1,43.641,13,6,-0.6135711934466823,1800,1,0,1,0.65,60,1,0,0,8,0,1,1,1,15,1,0,1,2
95,E19,0,51.507,18,0,-0.534627702365128,120,0,1,1,1,30,1,0,0,30,100,0,0,0,1,0,0,0,3.5
96,E20,1,43.641,22,2,1.5782215537420268,1021.9,0,0,0,0.35,30,0,0,0,10,0,0,1,1,4,0,0,1,1
