Rank;Model;Response;Candidate model;k;AICc;delta AICc;W;pseudo-R2
1;10;lreg_edges;log2(distance + 1) * log2(trench_depth + 1);5; 89.5; 0.000;0.359;0.373
2;31;lreg_edges;log2(distance + 1) + log2(trench_depth + 1) + obstacles;5; 92.0; 2.456;0.105;0.400
3;32;lreg_edges;log2(distance + 1) + log2(trench_depth + 1) + geomem;5; 92.5; 2.962;0.082;0.309
4;9;lreg_edges;log2(distance + 1) + log2(trench_depth + 1);4; 92.8; 3.274;0.070;0.319
5;41;lreg_edges;tarping_duration + log2(distance + 1) + add_control;5; 93.5; 3.992;0.049;0.300
6;38;lreg_edges;log2(distance + 1) + geomem + tarping_duration;5; 93.6; 4.051;0.047;0.307
7;30;lreg_edges;log2(distance + 1) + log2(trench_depth + 1) + add_control;5; 93.7; 4.239;0.043;0.295
8;7;lreg_edges;log2(distance + 1) + geomem;4; 93.8; 4.325;0.041;0.284
9;8;lreg_edges;log2(distance + 1) + tarping_duration;4; 94.4; 4.898;0.031;0.323
10;2;lreg_edges;log2(distance + 1) + add_control;4; 94.6; 5.062;0.029;0.269
11;34;lreg_edges;log2(distance + 1) + log2(trench_depth + 1) + slope;5; 94.8; 5.246;0.026;0.327
12;33;lreg_edges;log2(distance + 1) + log2(trench_depth + 1) + log2(stand_surface);5; 94.8; 5.336;0.025;0.310
13;48;lreg_edges;log2(trench_depth + 1) + log2(distance + 1) + repairs;5; 95.0; 5.450;0.024;0.321
14;3;lreg_edges;log2(distance + 1) + obstacles;4; 95.3; 5.828;0.019;0.349
15;35;lreg_edges;log2(distance + 1) + log2(stand_surface) + add_control;5; 96.6; 7.043;0.011;0.273
16;5;lreg_edges;log2(distance + 1) + pb_fixation;4; 96.6; 7.083;0.010;0.287
17;6;lreg_edges;log2(distance + 1) + log2(stand_surface);4; 96.8; 7.298;0.009;0.275
18;4;lreg_edges;log2(distance + 1) + repairs;4; 97.0; 7.519;0.008;0.286
19;36;lreg_edges;log2(distance + 1) + log2(stand_surface) + obstacles;5; 97.4; 7.921;0.007;0.338
20;37;lreg_edges;log2(distance + 1) + log2(stand_surface) + pb_fixation;5; 98.8; 9.308;0.003;0.281
21;12;lreg_edges;log2(trench_depth + 1) + obstacles;4;107.3;17.835;0.000;0.154
22;50;lreg_edges;log2(trench_depth + 1) + obstacles + geomem;5;107.7;18.210;0.000;0.140
23;49;lreg_edges;log2(trench_depth + 1) + obstacles + repairs;5;108.6;19.067;0.000;0.200
24;39;lreg_edges;log2(stand_surface) + log2(trench_depth + 1) + obstacles;5;109.1;19.609;0.000;0.171
25;45;lreg_edges;obstacles + add_control + log2(trench_depth + 1);5;109.6;20.085;0.000;0.144
26;25;lreg_edges;obstacles + geomem;4;109.7;20.188;0.000;0.094
27;44;lreg_edges;obstacles + add_control + tarping_duration;5;111.8;22.328;0.000;0.127
28;43;lreg_edges;obstacles + add_control + geomem;5;111.9;22.366;0.000;0.095
29;15;lreg_edges;log2(stand_surface) + obstacles;4;112.0;22.485;0.000;0.153
30;26;lreg_edges;obstacles + repairs;4;112.1;22.618;0.000;0.155
31;20;lreg_edges;add_control + obstacles;4;112.2;22.660;0.000;0.100
32;24;lreg_edges;obstacles + pb_fixation;4;112.2;22.714;0.000;0.146
33;1;lreg_edges;null;2;113.0;23.531;0.000;0.015
34;13;lreg_edges;log2(trench_depth + 1) + log2(stand_surface);4;113.3;23.794;0.000;0.052
35;18;lreg_edges;log2(trench_depth + 1) + repairs;4;113.7;24.192;0.000;0.048
36;27;lreg_edges;slope + geomem;4;113.7;24.238;0.000;0.046
37;47;lreg_edges;obstacles + add_control + slope;5;113.8;24.256;0.000;0.141
38;19;lreg_edges;log2(trench_depth + 1) + slope;4;113.8;24.306;0.000;0.046
39;42;lreg_edges;obstacles + repairs + add_control;5;113.9;24.403;0.000;0.121
40;11;lreg_edges;log2(trench_depth + 1) + add_control;4;113.9;24.430;0.000;0.044
41;46;lreg_edges;obstacles + add_control + log2(stand_surface);5;114.0;24.443;0.000;0.122
42;23;lreg_edges;add_control + tarping_duration;4;114.4;24.917;0.000;0.038
43;17;lreg_edges;log2(stand_surface) + tarping_duration;4;114.7;25.177;0.000;0.066
44;29;lreg_edges;slope + tarping_duration;4;115.0;25.458;0.000;0.068
45;40;lreg_edges;log2(stand_surface) + log2(trench_depth + 1) + slope;5;115.4;25.929;0.000;0.055
46;16;lreg_edges;log2(stand_surface) + pb_fixation;4;115.6;26.045;0.000;0.094
47;14;lreg_edges;log2(stand_surface) + add_control;4;116.1;26.593;0.000;0.016
48;21;lreg_edges;add_control + pb_fixation;4;116.3;26.759;0.000;0.015
49;22;lreg_edges;add_control + slope;4;116.5;26.978;0.000;0.012
50;28;lreg_edges;slope + pb_fixation;4;116.7;27.176;0.000;0.060
