Rank;Model;Response;Candidate model;k;AICc;delta AICc;W;R2glmm
1;7;lreg_tarpedarea;obstacles + pb_fixation;4;145.8; 0.000;0.275;0.265
2;45;lreg_tarpedarea;obstacles + stripsoverlap_ok + geomem;5;146.1; 0.309;0.236;0.340
3;44;lreg_tarpedarea;obstacles + tarpfix_pierced + pb_fixation;5;147.9; 2.107;0.096;0.269
4;6;lreg_tarpedarea;obstacles + stripsoverlap_ok;4;148.3; 2.437;0.081;0.221
5;32;lreg_tarpedarea;obstacles + add_control + geomem;5;149.5; 3.645;0.045;0.255
6;53;lreg_tarpedarea;add_control + tarpfix_pierced + pb_fixation;5;149.9; 4.067;0.036;0.214
7;50;lreg_tarpedarea;add_control + woven_geotex + pb_fixation;5;150.2; 4.347;0.031;0.202
8;42;lreg_tarpedarea;obstacles + tarpfix_pierced + stripsoverlap_ok;5;150.3; 4.510;0.029;0.221
9;16;lreg_tarpedarea;woven_geotex + pb_fixation;4;150.4; 4.594;0.028;0.220
10;46;lreg_tarpedarea;obstacles + stripsoverlap_ok + tarping_duration;5;150.4; 4.620;0.027;0.222
11;58;lreg_tarpedarea;add_control + log2(stand_surface) + pb_fixation;5;151.1; 5.288;0.020;0.198
12;25;lreg_tarpedarea;tarpfix_pierced + pb_fixation;4;151.2; 5.404;0.018;0.233
13;30;lreg_tarpedarea;stripsoverlap_ok + geomem;4;152.6; 6.774;0.009;0.269
14;3;lreg_tarpedarea;obstacles + geomem;4;153.3; 7.475;0.007;0.245
15;2;lreg_tarpedarea;obstacles + add_control;4;153.7; 7.837;0.005;0.146
16;9;lreg_tarpedarea;obstacles + woven_geotex;4;154.1; 8.257;0.004;0.168
17;31;lreg_tarpedarea;stripsoverlap_ok + log2(stand_surface);4;154.3; 8.500;0.004;0.165
18;64;lreg_tarpedarea;woven_geotex + log2(sedicover_height + 1) + stripsoverlap_ok;5;154.5; 8.706;0.004;0.191
19;36;lreg_tarpedarea;obstacles + add_control + woven_geotex;5;154.6; 8.726;0.004;0.156
20;28;lreg_tarpedarea;log2(sedicover_height + 1) + stripsoverlap_ok;4;154.8; 8.942;0.003;0.178
21;47;lreg_tarpedarea;obstacles + log2(sedicover_height + 1) + geomem;5;155.3; 9.438;0.002;0.246
22;5;lreg_tarpedarea;obstacles + log2(stand_surface);4;155.3; 9.458;0.002;0.158
23;41;lreg_tarpedarea;obstacles + tarpfix_pierced + geomem;5;155.4; 9.533;0.002;0.240
24;51;lreg_tarpedarea;add_control + tarpfix_pierced + geomem;5;155.4; 9.567;0.002;0.216
25;33;lreg_tarpedarea;obstacles + add_control + log2(stand_surface);5;155.6; 9.762;0.002;0.146
26;35;lreg_tarpedarea;obstacles + add_control + tarping_duration;5;155.6; 9.812;0.002;0.150
27;8;lreg_tarpedarea;obstacles + tarpfix_pierced;4;155.7; 9.909;0.002;0.160
28;34;lreg_tarpedarea;obstacles + add_control + tarpfix_pierced;5;155.8; 9.991;0.002;0.146
29;4;lreg_tarpedarea;obstacles + levelling;4;155.9;10.114;0.002;0.162
30;19;lreg_tarpedarea;plantation + stripsoverlap_ok;4;156.0;10.163;0.002;0.163
31;24;lreg_tarpedarea;tarpfix_pierced + stripsoverlap_ok;4;156.0;10.201;0.002;0.168
32;57;lreg_tarpedarea;add_control + log2(stand_surface) + geomem;5;156.0;10.218;0.002;0.200
33;39;lreg_tarpedarea;obstacles + woven_geotex + slope;5;156.1;10.238;0.002;0.182
34;38;lreg_tarpedarea;obstacles + woven_geotex + log2(stand_surface);5;156.1;10.312;0.002;0.165
35;40;lreg_tarpedarea;obstacles + woven_geotex + tarping_duration;5;156.2;10.351;0.002;0.172
36;37;lreg_tarpedarea;obstacles + woven_geotex + levelling;5;156.3;10.443;0.001;0.170
37;62;lreg_tarpedarea;log2(stand_surface) + tarpfix_pierced + stripsoverlap_ok;5;156.4;10.557;0.001;0.169
38;55;lreg_tarpedarea;add_control + plantation + stripsoverlap_ok;5;156.7;10.901;0.001;0.145
39;43;lreg_tarpedarea;obstacles + tarpfix_pierced + log2(stand_surface);5;157.3;11.505;0.001;0.157
40;13;lreg_tarpedarea;add_control + woven_geotex;4;158.9;13.055;0.000;0.101
41;1;lreg_tarpedarea;null;2;159.2;13.369;0.000;0.105
42;12;lreg_tarpedarea;add_control + tarping_duration;4;160.0;14.181;0.000;0.096
43;11;lreg_tarpedarea;add_control + tarpfix_pierced;4;160.0;14.201;0.000;0.095
44;10;lreg_tarpedarea;add_control + plantation;4;160.2;14.361;0.000;0.092
45;48;lreg_tarpedarea;add_control + woven_geotex + levelling;5;160.2;14.397;0.000;0.122
46;15;lreg_tarpedarea;woven_geotex + log2(sedicover_height + 1);4;160.5;14.642;0.000;0.122
