Response;Parameters;Imp.;Estimate (±SE);(95% CI);N model
lreg_tarpedarea;add_control;0.15;-0.955 (±0.580);"(-2.092; 0.181)";64
lreg_tarpedarea;geomem;0.31;1.035 (±0.577);"(-0.096; 2.165)";64
lreg_tarpedarea;levelling;0.00;-0.052 (±0.454);"(-0.941; 0.838)";64
lreg_tarpedarea;log2(sedicover_height + 1);0.01;-0.116 (±0.123);"(-0.358; 0.126)";64
lreg_tarpedarea;log2(stand_surface);0.03;-0.032 (±0.106);"(-0.240; 0.177)";64
lreg_tarpedarea;obstacles;0.83;-0.213 (±0.093);"(-0.396; -0.030)";64
lreg_tarpedarea;pb_fixation;0.50;-1.812 (±0.680);"(-3.144; -0.479)";64
lreg_tarpedarea;plantation;0.00;-0.134 (±0.578);"(-1.267; 0.999)";64
lreg_tarpedarea;slope;0.00;0.033 (±0.070);"(-0.105; 0.170)";64
lreg_tarpedarea;stripsoverlap_ok;0.40;-1.386 (±0.565);"(-2.494; -0.278)";64
lreg_tarpedarea;tarpfix_pierced;0.19;0.185 (±0.542);"(-0.877; 1.247)";64
lreg_tarpedarea;tarping_duration;0.03;0.011 (±0.090);"(-0.165; 0.188)";64
lreg_tarpedarea;woven_geotex;0.08;-0.565 (±0.508);"(-1.559; 0.430)";64
